"subj_idx","stim","stim_PM","stim_noPM","rt","response","trialno","TBdist","TSdist","SBdist","Helpful"
"1","Rem","PM","noPM","1.0636","1","29","0.016139","0.16667","0.18281","7"
"1","Rem","PM","noPM","0.50866","1","30","0.016139","0.33333","0.34947","7"
"1","Rem","PM","noPM","1.0899","1","1","0.0028056","0.083333","0.086139","7"
"1","Rem","PM","noPM","0.75707","1","2","0.0028056","0.25","0.24719","7"
"1","Rem","PM","noPM","0.85747","1","3","0.0028056","0.41667","0.41386","7"
"1","Rem","PM","noPM","0.69047","1","4","0.0028056","0.083333","0.080528","7"
"1","Rem","PM","noPM","0.54736","1","5","0.0028056","0.33333","0.33053","7"
"1","Rem","PM","noPM","0.7294","1","7","0.0028056","0.41667","0.41947","7"
"1","Rem","PM","noPM","0.54617","1","8","0.0028056","0.25","0.24719","7"
"1","Rem","PM","noPM","0.87408","1","9","0.0028056","0.33333","0.33053","7"
"1","Rem","PM","noPM","0.8717","1","11","0.0028056","0.25","0.24719","7"
"1","Rem","PM","noPM","0.8741","1","12","0.0028056","0.25","0.24719","7"
"1","Rem","PM","noPM","0.84487","1","13","0.0028056","0.083333","0.080528","7"
"1","Rem","PM","noPM","0.5619","0","14","0.0028056","0.41667","0.41947","7"
"1","Rem","PM","noPM","0.55549","1","15","0.0028056","0.33333","0.33053","7"
"1","Rem","PM","noPM","0.57403","1","16","0.0028056","0.25","0.25281","7"
"1","Rem","PM","noPM","0.60535","1","17","0.0028056","0.33333","0.33053","7"
"1","Rem","PM","noPM","0.46684","1","18","0.0028056","0.41667","0.41947","7"
"1","Rem","PM","noPM","0.97545","1","19","0.0028056","0.083333","0.086139","7"
"1","Rem","PM","noPM","0.62458","1","21","0.0028056","0.41667","0.41386","7"
"1","Rem","PM","noPM","0.59554","1","22","0.0028056","0.41667","0.41947","7"
"1","Rem","PM","noPM","0.99384","1","23","0.0028056","0.083333","0.080528","7"
"1","Rem","PM","noPM","0.7451","1","24","0.0028056","0.25","0.25281","7"
"1","Rem","PM","noPM","0.8889","0","25","0.0028056","0.41667","0.41386","7"
"1","Rem","PM","noPM","0.65988","1","26","0.0028056","0.41667","0.41386","7"
"1","Rem","PM","noPM","0.88725","0","27","0.0028056","0.25","0.25281","7"
"1","Rem","PM","noPM","1.3474","1","28","0.0028056","0.083333","0.080528","7"
"1","Rem","PM","noPM","0.59573","1","29","0.0028056","0.083333","0.086139","7"
"1","Rem","PM","noPM","0.71437","1","30","0.0028056","0.25","0.25281","7"
"1","Rem","PM","noPM","0.77718","1","1","0.032806","0.33333","0.36614","7"
"1","Rem","PM","noPM","0.79331","1","2","0.032806","0.16667","0.19947","7"
"1","Rem","PM","noPM","0.8211","1","4","0.032806","0.16667","0.19947","7"
"1","Rem","PM","noPM","0.96271","1","5","0.032806","0.16667","0.13386","7"
"1","Rem","PM","noPM","0.92173","1","6","0.032806","0.5","0.46719","7"
"1","Rem","PM","noPM","0.6754","1","7","0.032806","0.41667","0.44947","7"
"1","Rem","PM","noPM","0.60475","1","8","0.032806","0.33333","0.36614","7"
"1","Rem","PM","noPM","1.1166","1","9","0.032806","0.25","0.21719","7"
"1","Rem","PM","noPM","0.90982","1","10","0.032806","0.5","0.46719","7"
"1","Rem","PM","noPM","1.041","1","12","0.032806","0.16667","0.13386","7"
"1","Rem","PM","noPM","1.1742","1","13","0.032806","0.33333","0.30053","7"
"1","Rem","PM","noPM","0.66302","1","14","0.032806","0.41667","0.44947","7"
"1","Rem","PM","noPM","0.76307","1","15","0.032806","0.16667","0.13386","7"
"1","Rem","PM","noPM","0.81177","1","16","0.032806","0.33333","0.30053","7"
"1","Rem","PM","noPM","0.715","1","17","0.032806","0.25","0.21719","7"
"1","Rem","PM","noPM","0.71123","1","18","0.032806","0.41667","0.44947","7"
"1","Rem","PM","noPM","1.172","1","20","0.032806","0.16667","0.19947","7"
"1","Rem","PM","noPM","1.2046","1","21","0.032806","0.33333","0.30053","7"
"1","Rem","PM","noPM","1.251","1","22","0.032806","0.25","0.21719","7"
"1","Rem","PM","noPM","1.0157","1","23","0.032806","0.5","0.46719","7"
"1","Rem","PM","noPM","0.7158","1","26","0.032806","0.16667","0.13386","7"
"1","Rem","PM","noPM","0.5417","1","27","0.032806","0.41667","0.44947","7"
"1","Rem","PM","noPM","0.725","1","28","0.032806","0.33333","0.36614","7"
"1","Rem","PM","noPM","0.76601","1","29","0.032806","0.5","0.46719","7"
"1","Rem","PM","noPM","0.5825","1","30","0.032806","0.16667","0.19947","7"
"1","Rem","PM","noPM","0.80475","1","1","0.020806","0.5","0.47919","7"
"1","Rem","PM","noPM","0.68263","1","2","0.020806","0.41667","0.43747","7"
"1","Rem","PM","noPM","0.59073","1","3","0.020806","0.33333","0.35414","7"
"1","Rem","PM","noPM","0.95839","1","4","0.020806","0.25","0.22919","7"
"1","Rem","PM","noPM","0.67684","0","5","0.020806","0.16667","0.18747","7"
"1","Rem","PM","noPM","0.99986","1","6","0.020806","0.25","0.22919","7"
"1","Rem","PM","noPM","0.65473","1","7","0.020806","0.5","0.47919","7"
"1","Rem","PM","noPM","0.88282","1","9","0.020806","0.41667","0.43747","7"
"1","Rem","PM","noPM","0.86072","1","10","0.020806","0.33333","0.35414","7"
"1","Rem","PM","noPM","0.7048","1","11","0.020806","0.33333","0.35414","7"
"1","Rem","PM","noPM","0.70566","1","12","0.020806","0.33333","0.35414","7"
"1","Rem","PM","noPM","1.4903","1","13","0.020806","0.5","0.47919","7"
"1","Rem","PM","noPM","0.78792","1","14","0.020806","0.41667","0.43747","7"
"1","Rem","PM","noPM","0.7228","1","15","0.020806","0.33333","0.31253","7"
"1","Rem","PM","noPM","0.62884","1","16","0.020806","0.33333","0.31253","7"
"1","Rem","PM","noPM","0.79114","1","18","0.020806","0.16667","0.18747","7"
"1","Rem","PM","noPM","0.95699","1","19","0.020806","0.16667","0.18747","7"
"1","Rem","PM","noPM","0.66021","1","20","0.020806","0.16667","0.14586","7"
"1","Rem","PM","noPM","0.8391","1","21","0.020806","0.16667","0.14586","7"
"1","Rem","PM","noPM","0.70625","0","22","0.020806","0.25","0.22919","7"
"1","Rem","PM","noPM","0.86192","1","24","0.020806","0.5","0.47919","7"
"1","Rem","PM","noPM","0.76946","1","25","0.020806","0.16667","0.14586","7"
"1","Rem","PM","noPM","0.63267","1","27","0.020806","0.33333","0.31253","7"
"1","Rem","PM","noPM","0.63741","1","28","0.020806","0.16667","0.18747","7"
"1","Rem","PM","noPM","0.73805","1","29","0.020806","0.41667","0.43747","7"
"1","Rem","PM","noPM","0.6005","1","30","0.020806","0.25","0.22919","7"
"1","Rem","PM","noPM","0.91473","1","1","0.0068056","0.16667","0.15986","7"
"1","Rem","PM","noPM","1.0689","1","3","0.0068056","0.16667","0.17347","7"
"1","Rem","PM","noPM","0.89507","1","4","0.0068056","0.33333","0.34014","7"
"1","Rem","PM","noPM","0.52866","1","5","0.0068056","0.16667","0.17347","7"
"1","Rem","PM","noPM","0.89858","0","6","0.0068056","0.5","0.49319","7"
"1","Rem","PM","noPM","0.69193","1","7","0.0068056","0.16667","0.15986","7"
"1","Rem","PM","noPM","0.83022","0","8","0.0068056","0.083333","0.076528","7"
"1","Rem","PM","noPM","0.78766","0","9","0.0068056","0.33333","0.34014","7"
"1","Rem","PM","noPM","0.64345","1","10","0.0068056","0.5","0.49319","7"
"1","Rem","PM","noPM","0.65763","1","11","0.0068056","0.25","0.25681","7"
"1","Rem","PM","noPM","0.7119","1","12","0.0068056","0.16667","0.15986","7"
"1","Rem","PM","noPM","0.72022","1","13","0.0068056","0.16667","0.15986","7"
"1","Rem","PM","noPM","0.96404","1","14","0.0068056","0.25","0.25681","7"
"1","Rem","PM","noPM","0.66981","1","16","0.0068056","0.5","0.49319","7"
"1","Rem","PM","noPM","0.68139","1","17","0.0068056","0.25","0.25681","7"
"1","Rem","PM","noPM","0.67061","1","18","0.0068056","0.33333","0.34014","7"
"1","Rem","PM","noPM","0.52208","1","19","0.0068056","0.33333","0.32653","7"
"1","Rem","PM","noPM","0.97311","1","20","0.0068056","0.083333","0.076528","7"
