,a(PM),a(noPM),a_std,v(PM),v(noPM),v_std,t(PM),t(noPM),t_std
0,1.319390288005053,1.22382378647989,0.18105072177859743,1.5891352739374087,1.8112998843915988,0.6042692307032488,0.44794435420245493,0.42416869110261274,0.04461011368732984
1,1.2916413574733536,1.2131177850901294,0.18416594704242012,1.7741463373590742,1.8938749617557091,0.5923540961514389,0.4412076356411245,0.4293053047292615,0.04520929991318922
2,1.3348266773310635,1.2034613105324918,0.1813350890518524,1.949346527663324,2.0003267712226496,0.653830565011773,0.44876469735156216,0.42908018695113664,0.043057435819041506
3,1.2875510992726034,1.22137926162719,0.1768152688398465,1.7229022135835057,1.9118999316980123,0.6493243178999644,0.43770307656136187,0.41715864602642705,0.04374318102431521
4,1.2958814302322892,1.231904831694781,0.19767147804978824,1.884986049443958,1.9431100707969926,0.601281074019599,0.45487948938717665,0.44050525684909314,0.04679432690406633
5,1.2961330814395329,1.242490302630835,0.18792035358735304,1.7184295297713013,1.7526473752338665,0.6686337179555154,0.44793897178630143,0.4230520623166787,0.043696720149240184
6,1.2182349189918102,1.268423395199356,0.1829681517373461,1.659352088935571,1.8325746001496734,0.6231636172827366,0.44364587936543043,0.4190373701553885,0.03858339918015991
7,1.2449836184619638,1.2152708759865634,0.207355149490193,1.7284906486032878,2.0119730635575515,0.6965276072064358,0.44691218856935827,0.41950031022513845,0.039148591300208466
8,1.3520005494352194,1.1869916196368993,0.20904413338604982,1.6052981489672704,1.8257784113976767,0.565282623788995,0.44426043769940154,0.41819347533321877,0.056361602829300785
9,1.2434106136727494,1.2683861751994807,0.19079313313734114,1.813057271315599,1.7695452888666003,0.5938774181904635,0.4568598746721275,0.4184589836104687,0.04219974737337576
10,1.2959004629624076,1.2577655637309075,0.17866673098237756,1.5793512425382323,1.9899010270052264,0.5723965541349916,0.45427470466769987,0.4507619199248498,0.05134533635645629
11,1.3259326611612139,1.2597747404993962,0.19299297881361832,1.7621119803823917,1.752664393526971,0.6103418279926469,0.46355597092093515,0.4400221914131485,0.05342033107883357
12,1.3136257729082599,1.2424212461705402,0.19785859886734067,1.8208345463927107,1.6474924071078512,0.7126028194956444,0.46148114215047814,0.4369317974451799,0.05728603185859268
13,1.291070459434956,1.226891119394458,0.1866843841637287,1.8536658446730507,1.9464639544835272,0.6543763683660659,0.4418944693268068,0.43440172184464393,0.041517271464613245
