,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Con),1.248735439684938,0.022975852102827925,1.2195587163402841,1.2240518712996407,1.2590313213543576,1.2626450633538835,1.2783902260765243,0.010275113428580946
a(Rem),1.3154571649138256,0.038445464764667786,1.2794808469286716,1.2909809124511173,1.2930923442225324,1.3288717443840534,1.3848599765827534,0.017193334528074023
a(Uad),1.356446007434835,0.03623633276899886,1.299141621864598,1.3309219757839046,1.374642996165811,1.3785062574727074,1.3990171858871552,0.016205380665356928
a_std,0.21587511659851794,0.03026796518586144,0.1818807223196509,0.19365717130556448,0.21100686164115168,0.2235859019685758,0.26924492575764686,0.013536245539236647
a_subj(Con).1,1.47696034180225,0.06272670428751881,1.358495544283056,1.4699691340494423,1.5069385789397438,1.5165225789125527,1.5328758728264562,0.028052234958283913
a_subj(Con).2,1.049378909667118,0.03543128011296836,0.987838889656256,1.0371844704496338,1.0553402803391498,1.0811599926025313,1.0853709152880187,0.015845350172486734
a_subj(Con).3,1.2433119700439668,0.07135287184832342,1.143392508461598,1.1868339099265435,1.247203392176801,1.301700345765222,1.3374296938896706,0.031909974368536445
a_subj(Con).4,1.3437160444274256,0.01993225467089552,1.310886122617726,1.334216049699875,1.346558406138333,1.3595414227864333,1.367378220894761,0.008913975277792016
a_subj(Con).5,1.4645148377875283,0.10706141766929486,1.277798075714959,1.4184749050698833,1.507839922998499,1.5432825900180351,1.5751786951362665,0.04787932153520808
a_subj(Con).6,1.315991758353699,0.04743857238936099,1.2542118926863435,1.281322641439075,1.319116108117679,1.3320854129058906,1.3932227366195082,0.02121517452363116
a_subj(Con).7,0.9156911876206806,0.028155814464619976,0.8729329610131065,0.8957297675869123,0.9220216031087218,0.9365687562123804,0.9512028501822809,0.012591663020952422
a_subj(Con).8,1.2603703604178045,0.04564367257056377,1.2028355449736592,1.223665055772879,1.2486321800678917,1.3116705921252358,1.3150484291493563,0.02041247092210463
a_subj(Con).9,0.9542394872204205,0.0820410898116552,0.8391225640387859,0.903309773317499,0.938669640686139,1.0218823815875524,1.0682130764721263,0.036689890753405285
a_subj(Con).10,0.9225420827602091,0.010470660828411619,0.9057628975436918,0.9187329785041982,0.9236440058164321,0.9267603276574972,0.9378102042792265,0.004682621876334528
a_subj(Con).11,1.1644939770245282,0.025984700368911155,1.1378781107974143,1.1449836960652495,1.1508724551343361,1.1817874691681678,1.2069481539574725,0.01162071127996984
a_subj(Con).12,1.2535186974817951,0.05727343497916612,1.1514462671729668,1.2328381821113523,1.2833095380520885,1.2868411720090969,1.3131583280634713,0.02561345878366594
