,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Con),1.1794475048936786,0.05043009469882022,1.1189994496388271,1.1197917182252421,1.2081296480241455,1.2093222697061856,1.2409944388739924,0.02255302397166276
a(Rem),1.3060338279587813,0.012949762774431488,1.2900520260255075,1.300189259759026,1.3047126961199191,1.305791149788901,1.329424008100552,0.005791309971225016
a(Uad),1.3466139536700463,0.046428445439906284,1.289022991974983,1.307175487464742,1.33773368988401,1.3891141172421686,1.4100234817843278,0.020763432018654115
a_std,0.20542340575505272,0.016671507123011433,0.18029352578342922,0.2037242617077215,0.20405979860616316,0.20617756745847698,0.23286187521947266,0.007455724642885102
a_subj(Con).1,1.360319109652434,0.03291051251267699,1.327829803666099,1.3359257523231751,1.3370067708012645,1.3987086946088718,1.40212452686276,0.01471802863054063
a_subj(Con).2,1.084521508336587,0.04930053554821573,1.01631463689625,1.0466559241531608,1.095392317727453,1.1055057667805033,1.158738896125568,0.022047869762591044
a_subj(Con).3,1.0442102652677605,0.06379258486248343,0.9716328796265393,1.012519787797099,1.0131732973716,1.067372714908073,1.1563526466354905,0.028528911242587402
a_subj(Con).4,1.2546516737932403,0.040316880891814705,1.1799792992030467,1.2612863985606022,1.2622024101866713,1.2672751935563489,1.3025150674595314,0.018030257262972003
a_subj(Con).5,1.2263712466378267,0.04653441481288376,1.1701093092807717,1.1790024131064913,1.23723869314859,1.2504210005322247,1.295084817121056,0.02081082296295625
a_subj(Con).6,1.2262476500095647,0.015421150880910586,1.209310426457444,1.2139373539168052,1.2250792870362806,1.2294823187677768,1.2534288638695164,0.006896548332199367
a_subj(Con).7,0.9538103573569238,0.04913743657789423,0.8981638027958381,0.9306842949750767,0.9380095123086768,0.957973150622486,1.0442210260825415,0.021974929685651227
a_subj(Con).8,1.128939238664824,0.06912039930979173,1.0802311574845966,1.0843244592402979,1.1012100427537468,1.1138693550321621,1.2650611788133161,0.030911582297724772
a_subj(Con).9,0.9349646765957644,0.09899873755640339,0.8348676557350319,0.8632251058316416,0.8662249596239395,1.0459216527309643,1.0645840090572447,0.044273581372555874
a_subj(Con).10,0.9422358025986728,0.028319835651849208,0.9104738698968031,0.9200483684997176,0.9314021544992985,0.96251996899129,0.9867346511062546,0.012665015525831378
